date,value
29-01-2011,108
30-01-2011,132
31-01-2011,102
01-02-2011,120
02-02-2011,106
03-02-2011,123
04-02-2011,279
05-02-2011,175
06-02-2011,186
07-02-2011,120
08-02-2011,0
09-02-2011,0
10-02-2011,0
11-02-2011,0
12-02-2011,0
13-02-2011,0
14-02-2011,0
15-02-2011,0
16-02-2011,0
17-02-2011,0
18-02-2011,0
19-02-2011,0
20-02-2011,0
21-02-2011,0
22-02-2011,0
23-02-2011,0
24-02-2011,0
25-02-2011,0
26-02-2011,0
27-02-2011,0
28-02-2011,0
01-03-2011,0
02-03-2011,0
03-03-2011,0
04-03-2011,0
05-03-2011,0
06-03-2011,0
07-03-2011,0
08-03-2011,0
09-03-2011,0
10-03-2011,0
11-03-2011,0
12-03-2011,0
13-03-2011,0
14-03-2011,0
15-03-2011,0
16-03-2011,0
17-03-2011,0
18-03-2011,0
19-03-2011,0
20-03-2011,0
21-03-2011,0
22-03-2011,0
23-03-2011,0
24-03-2011,0
25-03-2011,0
26-03-2011,0
27-03-2011,0
28-03-2011,0
29-03-2011,0
30-03-2011,0
31-03-2011,0
01-04-2011,0
02-04-2011,0
03-04-2011,0
04-04-2011,0
05-04-2011,0
06-04-2011,0
07-04-2011,0
08-04-2011,0
09-04-2011,0
10-04-2011,0
11-04-2011,0
12-04-2011,0
13-04-2011,0
14-04-2011,0
15-04-2011,0
16-04-2011,0
17-04-2011,0
18-04-2011,0
19-04-2011,0
20-04-2011,0
21-04-2011,0
22-04-2011,0
23-04-2011,0
24-04-2011,0
25-04-2011,0
26-04-2011,0
27-04-2011,0
28-04-2011,0
29-04-2011,0
30-04-2011,0
01-05-2011,0
02-05-2011,0
03-05-2011,0
04-05-2011,0
05-05-2011,0
06-05-2011,0
07-05-2011,0
08-05-2011,0
09-05-2011,0
10-05-2011,0
11-05-2011,0
12-05-2011,0
13-05-2011,0
14-05-2011,0
15-05-2011,0
16-05-2011,0
17-05-2011,0
18-05-2011,0
19-05-2011,0
20-05-2011,0
21-05-2011,0
22-05-2011,0
23-05-2011,0
24-05-2011,0
25-05-2011,0
26-05-2011,0
27-05-2011,0
28-05-2011,0
29-05-2011,0
30-05-2011,0
31-05-2011,0
01-06-2011,0
02-06-2011,0
03-06-2011,0
04-06-2011,0
05-06-2011,0
06-06-2011,0
07-06-2011,0
08-06-2011,0
09-06-2011,0
10-06-2011,0
11-06-2011,0
12-06-2011,0
13-06-2011,0
14-06-2011,0
15-06-2011,0
16-06-2011,0
17-06-2011,0
18-06-2011,0
19-06-2011,0
20-06-2011,0
21-06-2011,0
22-06-2011,0
23-06-2011,0
24-06-2011,0
25-06-2011,0
26-06-2011,0
27-06-2011,0
28-06-2011,0
29-06-2011,0
30-06-2011,0
01-07-2011,0
02-07-2011,0
03-07-2011,0
04-07-2011,0
05-07-2011,0
06-07-2011,0
07-07-2011,0
08-07-2011,0
09-07-2011,0
10-07-2011,0
11-07-2011,0
12-07-2011,0
13-07-2011,0
14-07-2011,0
15-07-2011,0
16-07-2011,0
17-07-2011,0
18-07-2011,0
19-07-2011,0
20-07-2011,0
21-07-2011,0
22-07-2011,0
23-07-2011,0
24-07-2011,0
25-07-2011,0
26-07-2011,0
27-07-2011,0
28-07-2011,0
29-07-2011,0
30-07-2011,0
31-07-2011,0
01-08-2011,0
02-08-2011,0
03-08-2011,0
04-08-2011,0
05-08-2011,0
06-08-2011,0
07-08-2011,0
08-08-2011,0
09-08-2011,0
10-08-2011,0
11-08-2011,0
12-08-2011,0
13-08-2011,0
14-08-2011,0
15-08-2011,0
16-08-2011,0
17-08-2011,0
18-08-2011,0
19-08-2011,0
20-08-2011,0
21-08-2011,0
22-08-2011,0
23-08-2011,0
24-08-2011,0
25-08-2011,0
26-08-2011,0
27-08-2011,0
28-08-2011,0
29-08-2011,0
30-08-2011,0
31-08-2011,0
01-09-2011,0
02-09-2011,0
03-09-2011,0
04-09-2011,0
05-09-2011,0
06-09-2011,0
07-09-2011,0
08-09-2011,0
09-09-2011,0
10-09-2011,0
11-09-2011,0
12-09-2011,0
13-09-2011,0
14-09-2011,0
15-09-2011,0
16-09-2011,0
17-09-2011,0
18-09-2011,0
19-09-2011,0
20-09-2011,0
21-09-2011,0
22-09-2011,0
23-09-2011,0
24-09-2011,0
25-09-2011,420
26-09-2011,280
27-09-2011,273
28-09-2011,254
29-09-2011,240
30-09-2011,336
01-10-2011,478
02-10-2011,359
03-10-2011,234
04-10-2011,180
05-10-2011,170
06-10-2011,249
07-10-2011,254
08-10-2011,460
09-10-2011,170
10-10-2011,229
11-10-2011,225
12-10-2011,152
13-10-2011,248
14-10-2011,245
15-10-2011,303
16-10-2011,336
17-10-2011,206
18-10-2011,266
19-10-2011,219
20-10-2011,249
21-10-2011,267
22-10-2011,371
23-10-2011,263
24-10-2011,189
25-10-2011,218
26-10-2011,163
27-10-2011,212
28-10-2011,250
29-10-2011,302
30-10-2011,299
31-10-2011,187
01-11-2011,187
02-11-2011,168
03-11-2011,289
04-11-2011,188
05-11-2011,329
06-11-2011,224
07-11-2011,183
08-11-2011,175
09-11-2011,161
10-11-2011,210
11-11-2011,324
12-11-2011,413
13-11-2011,347
14-11-2011,280
15-11-2011,186
16-11-2011,144
17-11-2011,229
18-11-2011,377
19-11-2011,495
20-11-2011,132
21-11-2011,248
22-11-2011,315
23-11-2011,561
24-11-2011,166
25-11-2011,134
26-11-2011,204
27-11-2011,237
28-11-2011,124
29-11-2011,163
30-11-2011,185
01-12-2011,246
02-12-2011,214
03-12-2011,282
04-12-2011,377
05-12-2011,343
06-12-2011,261
07-12-2011,230
08-12-2011,206
09-12-2011,304
10-12-2011,382
11-12-2011,286
12-12-2011,246
13-12-2011,260
14-12-2011,199
15-12-2011,304
16-12-2011,377
17-12-2011,341
18-12-2011,289
19-12-2011,307
20-12-2011,300
21-12-2011,264
22-12-2011,289
23-12-2011,633
24-12-2011,619
25-12-2011,0
26-12-2011,233
27-12-2011,181
28-12-2011,352
29-12-2011,278
30-12-2011,585
31-12-2011,693
01-01-2012,246
02-01-2012,359
03-01-2012,194
04-01-2012,169
05-01-2012,220
06-01-2012,194
07-01-2012,301
08-01-2012,315
09-01-2012,196
10-01-2012,177
11-01-2012,151
12-01-2012,169
13-01-2012,247
14-01-2012,328
15-01-2012,259
16-01-2012,217
17-01-2012,195
18-01-2012,151
19-01-2012,171
20-01-2012,189
21-01-2012,449
22-01-2012,314
23-01-2012,275
24-01-2012,316
25-01-2012,210
26-01-2012,267
27-01-2012,312
28-01-2012,337
29-01-2012,263
30-01-2012,257
31-01-2012,261
01-02-2012,206
02-02-2012,236
03-02-2012,322
04-02-2012,498
05-02-2012,297
06-02-2012,249
07-02-2012,235
08-02-2012,196
09-02-2012,208
10-02-2012,357
11-02-2012,422
12-02-2012,349
13-02-2012,243
14-02-2012,179
15-02-2012,252
16-02-2012,212
17-02-2012,151
18-02-2012,268
19-02-2012,199
20-02-2012,198
21-02-2012,210
22-02-2012,134
23-02-2012,144
24-02-2012,237
25-02-2012,216
26-02-2012,205
27-02-2012,179
28-02-2012,83
29-02-2012,128
01-03-2012,142
02-03-2012,256
03-03-2012,263
04-03-2012,218
05-03-2012,140
06-03-2012,183
07-03-2012,130
08-03-2012,169
09-03-2012,228
10-03-2012,203
11-03-2012,160
12-03-2012,200
13-03-2012,96
14-03-2012,116
15-03-2012,125
16-03-2012,146
17-03-2012,241
18-03-2012,157
19-03-2012,130
20-03-2012,128
21-03-2012,101
22-03-2012,120
23-03-2012,174
24-03-2012,197
25-03-2012,188
26-03-2012,114
27-03-2012,66
28-03-2012,147
29-03-2012,191
30-03-2012,149
31-03-2012,174
01-04-2012,147
02-04-2012,144
03-04-2012,115
04-04-2012,112
05-04-2012,156
06-04-2012,184
07-04-2012,271
08-04-2012,242
09-04-2012,111
10-04-2012,146
11-04-2012,162
12-04-2012,143
13-04-2012,146
14-04-2012,176
15-04-2012,164
16-04-2012,113
