Period,Date Range,Demand,Weeks,weeks_ahead,multiplier,nudged_demand
Week 1,Week 1,865.21,1,1,1.0033075,868.071682075
Week 2,Week 2,750.46,1,2,1.0029225,752.65321935
Week 3,Week 3,733.65,1,3,1.0025375,735.511636875
Week 4,Week 4,766.3,1,4,1.0021525,767.94946075
Week 5,Week 5,812.87,1,5,1.0017675,814.3067477249999
Week 6,Week 6,803.75,1,6,1.0013825,804.8611843750001
Week 7,Week 7,786.47,1,7,1.0009975,787.254503825
Week 8,Week 8,797.99,1,8,1.0006125,798.4787688749999
Week 9,Week 9,812.87,1,9,1.0002275,813.054927925
Week 10,Week 10,854.16,1,10,1.0,854.16
Week 11,Week 11,861.37,1,11,1.0,861.37
Week 12,Week 12,839.28,1,12,1.0,839.28
