Date,value
2011-09-30,1803
2011-10-07,1924
2011-10-14,1729
2011-10-21,1846
2011-10-28,1666
2011-11-04,1620
2011-11-11,1606
2011-11-18,1976
2011-11-25,2051
2011-12-02,1373
2011-12-09,2003
2011-12-16,2054
2011-12-23,2423
2011-12-30,2248
2012-01-06,2075
2012-01-13,1556
2012-01-20,1510
2012-01-27,2143
2012-02-03,1882
2012-02-10,2040
2012-02-17,1808
2012-02-24,1390
2012-03-02,1209
2012-03-09,1331
2012-03-16,1046
2012-03-23,1051
2012-03-30,1052
2012-04-06,1032
2012-04-13,1221
2012-04-20,1022
2012-04-27,911
2012-05-04,791
2012-05-11,1031
2012-05-18,953
2012-05-25,986
2012-06-01,919
2012-06-08,1019
2012-06-15,1340
2012-06-22,774
2012-06-29,1540
2012-07-06,1972
2012-07-13,1744
2012-07-20,1732
2012-07-27,1794
2012-08-03,1745
2012-08-10,1537
2012-08-17,1562
2012-08-24,1681
2012-08-31,1415
2012-09-07,1554
2012-09-14,1819
2012-09-21,1790
2012-09-28,1812
2012-10-05,1130
2012-10-12,1911
2012-10-19,1772
2012-10-26,856
2012-11-02,1304
2012-11-09,1460
2012-11-16,1353
2012-11-23,1525
2012-11-30,1111
2012-12-07,1659
2012-12-14,1420
2012-12-21,1350
2012-12-28,1857
2013-01-04,1806
2013-01-11,1630
2013-01-18,1581
2013-01-25,917
2013-02-01,1193
2013-02-08,1203
2013-02-15,992
2013-02-22,1025
2013-03-01,914
2013-03-08,1024
2013-03-15,1154
2013-03-22,1139
2013-03-29,1186
2013-04-05,1120
2013-04-12,1262
2013-04-19,1079
2013-04-26,1073
2013-05-03,1202
2013-05-10,1208
2013-05-17,1234
2013-05-24,1098
2013-05-31,1015
2013-06-07,1249
2013-06-14,1224
2013-06-21,1427
2013-06-28,1304
2013-07-05,1783
2013-07-12,1211
2013-07-19,1056
2013-07-26,1202
2013-08-02,993
2013-08-09,1116
2013-08-16,1127
2013-08-23,1401
2013-08-30,2911
2013-09-06,2628
2013-09-13,3539
2013-09-20,2945
2013-09-27,2090
2013-10-04,799
2013-10-11,1203
2013-10-18,1168
2013-10-25,1004
2013-11-01,1027
2013-11-08,1030
2013-11-15,648
2013-11-22,31
2013-11-29,24
2013-12-06,1639
2013-12-13,392
2013-12-20,20
2013-12-27,384
2014-01-03,1490
2014-01-10,463
2014-01-17,924
2014-01-24,860
2014-01-31,840
2014-02-07,834
2014-02-14,13
2014-02-21,31
2014-02-28,41
2014-03-07,28
2014-03-14,1039
2014-03-21,925
2014-03-28,804
2014-04-04,863
