Week,Actual,Demand,weeks_ahead,multiplier,nudged_demand
Week 1,1043.0,903.6048749793664,1,1.0033075,906.5935481033607
Week 2,862.0,751.0397855524923,2,1.0029225,753.2346993257694
Week 3,996.0,767.8715642642073,3,1.0025375,769.8200383585279
Week 4,1111.0,900.5641612692998,4,1.0021525,902.502625626432
Week 5,882.0,896.504352741103,5,1.0017675,898.0889241845729
Week 6,513.0,897.8209825592198,6,1.0013825,899.062220067608
Week 7,49.0,779.1079156145405,7,1.0009975,779.885075760366
Week 8,68.0,718.2512309504766,8,1.0006125,718.6911598294337
Week 9,18.0,963.4662870517697,9,1.0002275,963.685475632074
Week 10,534.0,955.9563296102754,10,1.0,955.9563296102754
Week 11,965.0,1149.1461988939068,11,1.0,1149.1461988939068
Week 12,972.0,1015.1352859847516,12,1.0,1015.1352859847516
