Store,Date,value
1,2011-09-30,1803
1,2011-10-07,1924
1,2011-10-14,1729
1,2011-10-21,1846
1,2011-10-28,1666
1,2011-11-04,1620
1,2011-11-11,1606
1,2011-11-18,1976
1,2011-11-25,2051
1,2011-12-02,1373
1,2011-12-09,2003
1,2011-12-16,2054
1,2011-12-23,2423
1,2011-12-30,2248
1,2012-01-06,2075
1,2012-01-13,1556
1,2012-01-20,1510
1,2012-01-27,2143
1,2012-02-03,1882
1,2012-02-10,2040
1,2012-02-17,1808
1,2012-02-24,1390
1,2012-03-02,1209
1,2012-03-09,1331
1,2012-03-16,1046
1,2012-03-23,1051
1,2012-03-30,1052
1,2012-04-06,1032
1,2012-04-13,1221
1,2012-04-20,1022
1,2012-04-27,911
1,2012-05-04,791
1,2012-05-11,1031
1,2012-05-18,953
1,2012-05-25,986
1,2012-06-01,919
1,2012-06-08,1019
1,2012-06-15,1340
1,2012-06-22,774
1,2012-06-29,1540
1,2012-07-06,1972
1,2012-07-13,1744
1,2012-07-20,1732
1,2012-07-27,1794
1,2012-08-03,1745
1,2012-08-10,1537
1,2012-08-17,1562
1,2012-08-24,1681
1,2012-08-31,1415
1,2012-09-07,1554
1,2012-09-14,1819
1,2012-09-21,1790
1,2012-09-28,1812
1,2012-10-05,1130
1,2012-10-12,1911
1,2012-10-19,1772
1,2012-10-26,856
1,2012-11-02,1304
1,2012-11-09,1460
1,2012-11-16,1353
1,2012-11-23,1525
1,2012-11-30,1111
1,2012-12-07,1659
1,2012-12-14,1420
1,2012-12-21,1350
1,2012-12-28,1857
1,2013-01-04,1806
1,2013-01-11,1630
1,2013-01-18,1581
1,2013-01-25,917
1,2013-02-01,1193
1,2013-02-08,1203
1,2013-02-15,992
1,2013-02-22,1025
1,2013-03-01,914
1,2013-03-08,1024
1,2013-03-15,1154
1,2013-03-22,1139
1,2013-03-29,1186
1,2013-04-05,1120
1,2013-04-12,1262
1,2013-04-19,1079
1,2013-04-26,1073
1,2013-05-03,1202
1,2013-05-10,1208
1,2013-05-17,1234
1,2013-05-24,1098
1,2013-05-31,1015
1,2013-06-07,1249
1,2013-06-14,1224
1,2013-06-21,1427
1,2013-06-28,1304
1,2013-07-05,1783
1,2013-07-12,1211
1,2013-07-19,1056
1,2013-07-26,1202
1,2013-08-02,993
1,2013-08-09,1116
1,2013-08-16,1127
1,2013-08-23,1401
1,2013-08-30,2911
1,2013-09-06,2628
1,2013-09-13,3539
1,2013-09-20,2945
1,2013-09-27,2090
1,2013-10-04,799
1,2013-10-11,1203
1,2013-10-18,1168
1,2013-10-25,1004
1,2013-11-01,1027
1,2013-11-08,1030
1,2013-11-15,648
1,2013-11-22,31
1,2013-11-29,24
1,2013-12-06,1639
1,2013-12-13,392
1,2013-12-20,20
1,2013-12-27,384
1,2014-01-03,1490
1,2014-01-10,463
1,2014-01-17,924
1,2014-01-24,860
1,2014-01-31,840
1,2014-02-07,834
1,2014-02-14,13
1,2014-02-21,31
1,2014-02-28,41
1,2014-03-07,28
1,2014-03-14,1039
1,2014-03-21,925
1,2014-03-28,804
1,2014-04-04,863
