Date,Weekly_Sales,Rolling_Mean,Is_Spike,SMI_Hype_Index,SMI_Momentum,SMI_Persistence
2011-09-30,1803,,False,0.0034,0.0000,0.0034
2011-10-07,1924,,False,0.0470,0.0436,0.0208
2011-10-14,1729,1825.5000,False,0.1655,0.1186,0.0787
2011-10-21,1846,1791.2500,True,0.2860,0.1205,0.1616
2011-10-28,1666,1715.2500,False,0.1528,-0.1332,0.1581
2011-11-04,1620,1684.5000,False,0.0316,-0.1212,0.1075
2011-11-11,1606,1717.0000,False,0.1958,0.1642,0.1428
2011-11-18,1976,1813.2500,True,0.4828,0.2871,0.2788
2011-11-25,2051,1751.5000,True,0.5154,0.0326,0.3735
2011-12-02,1373,1850.7500,False,0.3838,-0.1316,0.3776
2011-12-09,2003,1870.2500,True,0.5089,0.1251,0.4301
2011-12-16,2054,1963.2500,True,0.7329,0.2239,0.5512
2011-12-23,2423,2182.0000,True,0.7374,0.0045,0.6257
2011-12-30,2248,2200.0000,True,0.5404,-0.1970,0.5916
2012-01-06,2075,2075.5000,False,0.1869,-0.3534,0.4297
2012-01-13,1556,1847.2500,False,0.0350,-0.1520,0.2718
2012-01-20,1510,1821.0000,False,0.1809,0.1459,0.2354
2012-01-27,2143,1772.7500,True,0.3631,0.1822,0.2865
2012-02-03,1882,1893.7500,False,0.3844,0.0213,0.3257
2012-02-10,2040,1968.2500,True,0.4594,0.0751,0.3792
2012-02-17,1808,1780.0000,True,0.4510,-0.0084,0.4079
2012-02-24,1390,1611.7500,False,0.1715,-0.2795,0.3133
2012-03-02,1209,1434.5000,False,0.1128,-0.0587,0.2331
2012-03-09,1331,1244.0000,True,0.2034,0.0906,0.2212
2012-03-16,1046,1159.2500,False,0.1340,-0.0694,0.1863
2012-03-23,1051,1120.0000,False,0.1004,-0.0336,0.1519
2012-03-30,1052,1045.2500,True,0.1781,0.0778,0.1624
2012-04-06,1032,1089.0000,False,0.1964,0.0183,0.1760
2012-04-13,1221,1081.7500,True,0.1918,-0.0046,0.1823
2012-04-20,1022,1046.5000,False,0.0981,-0.0937,0.1487
2012-04-27,911,986.2500,False,0.0258,-0.0724,0.0995
2012-05-04,791,938.7500,False,0.1009,0.0752,0.1001
2012-05-11,1031,921.5000,True,0.2477,0.1468,0.1591
2012-05-18,953,940.2500,True,0.3279,0.0802,0.2267
2012-05-25,986,972.2500,True,0.2444,-0.0836,0.2337
2012-06-01,919,969.2500,False,0.1177,-0.1266,0.1873
2012-06-08,1019,1066.0000,False,0.1138,-0.0040,0.1579
2012-06-15,1340,1013.0000,True,0.2245,0.1107,0.1846
2012-06-22,774,1168.2500,False,0.2838,0.0593,0.2243
2012-06-29,1540,1406.5000,True,0.4012,0.1174,0.2950
2012-07-06,1972,1507.5000,True,0.4231,0.0218,0.3463
2012-07-13,1744,1747.0000,False,0.2008,-0.2223,0.2881
2012-07-20,1732,1810.5000,False,0.1749,-0.0259,0.2428
2012-07-27,1794,1753.7500,True,0.4308,0.2559,0.3180
2012-08-03,1745,1702.0000,True,0.4132,-0.0177,0.3561
2012-08-10,1537,1659.5000,False,0.1836,-0.2295,0.2871
2012-08-17,1562,1631.2500,False,0.1424,-0.0412,0.2292
2012-08-24,1681,1548.7500,True,0.2594,0.1170,0.2413
2012-08-31,1415,1553.0000,False,0.1780,-0.0814,0.2160
2012-09-07,1554,1617.2500,False,0.1811,0.0030,0.2020
2012-09-14,1819,1644.5000,True,0.4700,0.2889,0.3092
2012-09-21,1790,1743.7500,True,0.5849,0.1149,0.4195
2012-09-28,1812,1637.7500,True,0.4699,-0.1150,0.4396
2012-10-05,1130,1660.7500,False,0.3556,-0.1143,0.4060
2012-10-12,1911,1656.2500,True,0.4438,0.0882,0.4211
2012-10-19,1772,1417.2500,True,0.4417,-0.0021,0.4293
2012-10-26,856,1460.7500,False,0.1695,-0.2722,0.3254
2012-11-02,1304,1348.0000,False,0.1214,-0.0481,0.2438
2012-11-09,1460,1243.2500,True,0.2412,0.1197,0.2428
2012-11-16,1353,1410.5000,False,0.2517,0.0105,0.2463
2012-11-23,1525,1362.2500,True,0.2608,0.0091,0.2521
2012-11-30,1111,1412.0000,False,0.2909,0.0301,0.2676
2012-12-07,1659,1428.7500,True,0.3816,0.0907,0.3132
2012-12-14,1420,1385.0000,True,0.3862,0.0046,0.3424
2012-12-21,1350,1571.5000,False,0.3053,-0.0809,0.3276
2012-12-28,1857,1608.2500,True,0.4373,0.1320,0.3715
2013-01-04,1806,1660.7500,True,0.4514,0.0141,0.4034
2013-01-11,1630,1718.5000,False,0.2958,-0.1556,0.3604
2013-01-18,1581,1483.5000,True,0.2345,-0.0613,0.3101
2013-01-25,917,1330.2500,False,0.1691,-0.0654,0.2537
2013-02-01,1193,1223.5000,False,0.1127,-0.0564,0.1973
2013-02-08,1203,1076.2500,True,0.1804,0.0677,0.1905
2013-02-15,992,1103.2500,False,0.0957,-0.0847,0.1526
2013-02-22,1025,1033.5000,False,0.0131,-0.0826,0.0968
2013-03-01,914,988.7500,False,0.0300,0.0169,0.0701
2013-03-08,1024,1029.2500,False,0.1267,0.0967,0.0927
2013-03-15,1154,1057.7500,True,0.3007,0.1740,0.1759
2013-03-22,1139,1125.7500,True,0.3636,0.0629,0.2510
2013-03-29,1186,1149.7500,True,0.2977,-0.0659,0.2696
2013-04-05,1120,1176.7500,False,0.2022,-0.0955,0.2427
2013-04-12,1262,1161.7500,True,0.2040,0.0018,0.2272
2013-04-19,1079,1133.5000,False,0.1344,-0.0696,0.1901
2013-04-26,1073,1154.0000,False,0.1230,-0.0114,0.1633
2013-05-03,1202,1140.5000,True,0.2988,0.1758,0.2175
2013-05-10,1208,1179.2500,True,0.3872,0.0884,0.2854
2013-05-17,1234,1185.5000,True,0.2888,-0.0984,0.2868
2013-05-24,1098,1138.7500,False,0.1352,-0.1536,0.2261
2013-05-31,1015,1149.0000,False,0.1135,-0.0217,0.1811
2013-06-07,1249,1146.5000,True,0.2264,0.1129,0.1992
2013-06-14,1224,1228.7500,False,0.2291,0.0027,0.2112
2013-06-21,1427,1301.0000,True,0.2422,0.0130,0.2236
2013-06-28,1304,1434.5000,False,0.2791,0.0369,0.2458
2013-07-05,1783,1431.2500,True,0.2801,0.0010,0.2595
2013-07-12,1211,1338.5000,False,0.1766,-0.1035,0.2263
2013-07-19,1056,1313.0000,False,0.1126,-0.0640,0.1808
2013-07-26,1202,1115.5000,True,0.2054,0.0929,0.1907
2013-08-02,993,1091.7500,False,0.2003,-0.0051,0.1945
2013-08-09,1116,1109.5000,True,0.1724,-0.0279,0.1857
2013-08-16,1127,1159.2500,False,0.1376,-0.0348,0.1664
2013-08-23,1401,1638.7500,False,0.2846,0.1471,0.2137
2013-08-30,2911,2016.7500,True,0.7124,0.4277,0.4132
2013-09-06,2628,2619.7500,True,0.9926,0.2802,0.6449
2013-09-13,3539,3005.7500,True,1.0000,0.0074,0.7870
2013-09-20,2945,2800.5000,True,0.7450,-0.2550,0.7702
2013-09-27,2090,2343.2500,False,0.2612,-0.4838,0.5666
2013-10-04,799,1759.2500,False,0.0201,-0.2411,0.3480
2013-10-11,1203,1315.0000,False,0.1018,0.0816,0.2495
2013-10-18,1168,1043.5000,True,0.1875,0.0857,0.2247
2013-10-25,1004,1100.5000,False,0.1150,-0.0725,0.1808
2013-11-01,1027,1057.2500,False,0.0829,-0.0321,0.1416
2013-11-08,1030,927.2500,True,0.1564,0.0736,0.1475
2013-11-15,648,684.0000,False,0.0847,-0.0717,0.1224
2013-11-22,31,433.2500,False,0.0430,-0.0417,0.0907
2013-11-29,24,585.5000,False,0.1499,0.1069,0.1144
2013-12-06,1639,521.5000,True,0.2556,0.1057,0.1709
2013-12-13,392,518.7500,False,0.1513,-0.1043,0.1630
2013-12-20,20,608.7500,False,0.0378,-0.1136,0.1129
2013-12-27,384,571.5000,False,0.1237,0.0860,0.1172
2014-01-03,1490,589.2500,True,0.2389,0.1152,0.1659
2014-01-10,463,815.2500,False,0.1459,-0.0930,0.1579
2014-01-17,924,934.2500,False,0.0848,-0.0611,0.1287
2014-01-24,860,771.7500,True,0.1582,0.0734,0.1405
2014-01-31,840,864.5000,False,0.1437,-0.0145,0.1418
2014-02-07,834,636.7500,True,0.1230,-0.0207,0.1342
2014-02-14,13,429.5000,False,0.0705,-0.0525,0.1087
2014-02-21,31,229.7500,False,0.0080,-0.0625,0.0684
2014-02-28,41,28.2500,True,0.0367,0.0287,0.0557
2014-03-07,28,284.7500,False,0.1198,0.0831,0.0814
2014-03-14,1039,508.2500,True,0.2288,0.1090,0.1403
2014-03-21,925,699.0000,True,0.2323,0.0035,0.1771
2014-03-28,804,907.7500,False,0.0816,-0.1507,0.1389
2014-04-04,863,,False,0.0000,-0.0816,0.0834
