Period,Date Range,Demand,Weeks,weeks_ahead,multiplier,nudged_demand
Week 1,Week 1,1845550.0,1,1,1.01323,1869966.6265000002
Week 2,Week 2,1851332.63,1,2,1.01169,1872974.7084446999
Week 3,Week 3,1825679.25,1,3,1.0,1825679.25
Week 4,Week 4,1706034.0,1,4,1.0,1706034.0
Week 5,Week 5,1695625.5,1,5,1.0,1695625.5
Week 6,Week 6,1675229.13,1,6,1.0,1675229.13
Week 7,Week 7,1680801.25,1,7,1.0009975,1682477.849246875
Week 8,Week 8,1694889.5,1,8,1.0006125,1695927.6198187498
Week 9,Week 9,1701513.13,1,9,0.9999025,1701347.2324698248
Week 10,Week 10,1726430.38,1,10,1.0,1726430.38
Week 11,Week 11,1755763.63,1,11,1.0,1755763.63
Week 12,Week 12,1788040.38,1,12,1.0,1788040.38
