Store,Date,value
10,2010-02-05,2193048.75
10,2010-02-12,2176028.52
10,2010-02-19,2113432.58
10,2010-02-26,2006774.96
10,2010-03-05,1987090.09
10,2010-03-12,1941346.13
10,2010-03-19,1946875.06
10,2010-03-26,1893532.46
10,2010-04-02,2138651.97
10,2010-04-09,2041069.37
10,2010-04-16,1826241.44
10,2010-04-23,1829521.83
10,2010-04-30,1790694.59
10,2010-05-07,1921432.16
10,2010-05-14,1808056.41
10,2010-05-21,1847613.58
10,2010-05-28,1904618.17
10,2010-06-04,1931406.28
10,2010-06-11,1827521.71
10,2010-06-18,1837636.24
10,2010-06-25,1768172.31
10,2010-07-02,1845893.87
10,2010-07-09,1769793.37
10,2010-07-16,1828052.47
10,2010-07-23,1831676.03
10,2010-07-30,1832664.03
10,2010-08-06,1949236.09
10,2010-08-13,1962996.7
10,2010-08-20,1983190.56
10,2010-08-27,1727565.42
10,2010-09-03,1766331.45
10,2010-09-10,1720530.23
10,2010-09-17,1716755.78
10,2010-09-24,1655036.75
10,2010-10-01,1645892.97
10,2010-10-08,1772192.42
10,2010-10-15,1703850.25
10,2010-10-22,1740234.06
10,2010-10-29,1741308.56
10,2010-11-05,1832211.96
10,2010-11-12,1895901.59
10,2010-11-19,1949177.13
10,2010-11-26,2939946.38
10,2010-12-03,2251206.64
10,2010-12-10,2411790.21
10,2010-12-17,2811646.85
10,2010-12-24,3749057.69
10,2010-12-31,1707298.14
10,2011-01-07,1714309.9
10,2011-01-14,1710803.59
10,2011-01-21,1677556.18
10,2011-01-28,1715769.05
10,2011-02-04,1968045.91
10,2011-02-11,2115408.31
10,2011-02-18,2106934.55
10,2011-02-25,1967996.71
10,2011-03-04,1958003.19
10,2011-03-11,1933469.15
10,2011-03-18,1884734.31
10,2011-03-25,1815798.85
10,2011-04-01,1827733.18
10,2011-04-08,1870720.73
10,2011-04-15,1781767.22
10,2011-04-22,2004831.14
10,2011-04-29,1873646.34
10,2011-05-06,1841369.99
10,2011-05-13,1712995.44
10,2011-05-20,1720908.01
10,2011-05-27,1743000.38
10,2011-06-03,1792210.89
10,2011-06-10,1740063.1
10,2011-06-17,1817934.76
10,2011-06-24,1711813.13
10,2011-07-01,1751369.75
10,2011-07-08,1699708.38
10,2011-07-15,1775068.4
10,2011-07-22,1774342.61
10,2011-07-29,1745841.33
10,2011-08-05,1886299.98
10,2011-08-12,1917397.63
10,2011-08-19,1954849.68
10,2011-08-26,1728399.07
10,2011-09-02,1758587.35
10,2011-09-09,1670579.82
10,2011-09-16,1650894.3
10,2011-09-23,1685910.53
10,2011-09-30,1627707.31
10,2011-10-07,1788227.6
10,2011-10-14,1704753.02
10,2011-10-21,1745928.56
10,2011-10-28,1771792.97
10,2011-11-04,1904438.59
10,2011-11-11,2076570.84
10,2011-11-18,1869087.85
10,2011-11-25,2950198.64
10,2011-12-02,2068097.18
10,2011-12-09,2429310.9
10,2011-12-16,2555031.18
10,2011-12-23,3487986.89
10,2011-12-30,1930690.37
10,2012-01-06,1683401.78
10,2012-01-13,1711562.73
10,2012-01-20,1675562.94
10,2012-01-27,1632406.0
10,2012-02-03,1867403.01
10,2012-02-10,2218595.8
10,2012-02-17,2168709.76
10,2012-02-24,2039415.74
10,2012-03-02,1990371.02
10,2012-03-09,1917483.1
10,2012-03-16,1930814.66
10,2012-03-23,1837457.69
10,2012-03-30,1815760.42
10,2012-04-06,2163384.17
10,2012-04-13,1974687.51
10,2012-04-20,1777166.53
10,2012-04-27,1712987.56
10,2012-05-04,1821364.42
10,2012-05-11,1792345.3
10,2012-05-18,1795152.73
10,2012-05-25,1830939.1
10,2012-06-01,1767471.48
10,2012-06-08,1840491.41
10,2012-06-15,1811562.88
10,2012-06-22,1755334.18
10,2012-06-29,1707481.9
10,2012-07-06,1805999.79
10,2012-07-13,1765571.91
10,2012-07-20,1869967.03
10,2012-07-27,1817603.66
