Week,Actual,Demand,weeks_ahead,multiplier,nudged_demand
Week 1,1939440.09,1876081.71986032,1,1.01323,1900902.2810140722
Week 2,1880436.94,1875528.5740904887,2,1.01169,1897453.5031216065
Week 3,1827797.4,1860944.66183897,3,1.0,1860944.66183897
Week 4,1764984.15,1834190.1405644596,4,1.0,1834190.1405644596
Week 5,1650285.54,1775027.9737674885,5,1.0,1775027.9737674885
Week 6,1708283.28,1683845.9306382549,6,1.0,1683845.9306382549
Week 7,1640168.99,1609824.8718411566,7,1.0009975,1611430.6721508182
Week 8,1671857.57,1609955.758842059,8,1.0006125,1610941.8567443495
Week 9,1694862.41,1677820.0223908753,9,0.9999025,1677656.4349386923
Week 10,1758971.38,1736905.593152592,10,1.0,1736905.593152592
Week 11,1713889.11,1724212.084154034,11,1.0,1724212.084154034
Week 12,1734834.82,1671597.066708965,12,1.0,1671597.066708965
