Date,Weekly_Sales,Rolling_Mean,Is_Spike,SMI_Hype_Index,SMI_Momentum,SMI_Persistence
2010-02-05,2193048.7500,,False,0.0136,0.0000,0.0136
2010-02-12,2176028.5200,,False,0.0364,0.0228,0.0227
2010-02-19,2113432.5800,2122321.2025,False,0.0277,-0.0087,0.0247
2010-02-26,2006774.9600,2070831.5375,False,0.0225,-0.0053,0.0238
2010-03-05,1987090.0900,2012160.9400,False,0.0452,0.0227,0.0324
2010-03-12,1941346.1300,1970521.5600,False,0.2063,0.1611,0.1020
2010-03-19,1946875.0600,1942210.9350,True,0.4078,0.2015,0.2243
2010-03-26,1893532.4600,1980101.4050,False,0.4979,0.0901,0.3337
2010-04-02,2138651.9700,2005032.2150,True,0.6319,0.1340,0.4530
2010-04-09,2041069.3700,1974873.8100,True,0.6281,-0.0038,0.5230
2010-04-16,1826241.4400,1958871.1525,False,0.2107,-0.4174,0.3981
2010-04-23,1829521.8300,1871881.8075,False,0.0769,-0.1338,0.2696
2010-04-30,1790694.5900,1841972.5050,False,0.2305,0.1536,0.2540
2010-05-07,1921432.1600,1837426.2475,True,0.3649,0.1344,0.2984
2010-05-14,1808056.4100,1841949.1850,False,0.2441,-0.1208,0.2767
2010-05-21,1847613.5800,1870430.0800,False,0.2430,-0.0011,0.2632
2010-05-28,1904618.1700,1872923.6100,True,0.5652,0.3222,0.3840
2010-06-04,1931406.2800,1877789.9350,True,0.5762,0.0110,0.4609
2010-06-11,1827521.7100,1875295.6000,False,0.2157,-0.3605,0.3628
2010-06-18,1837636.2400,1841184.1350,False,0.0485,-0.1672,0.2371
2010-06-25,1768172.3100,1819806.0325,False,0.2139,0.1655,0.2278
2010-07-02,1845893.8700,1805373.9475,True,0.3858,0.1719,0.2910
2010-07-09,1769793.3700,1802978.0050,False,0.4283,0.0425,0.3459
2010-07-16,1828052.4700,1818853.9350,True,0.5431,0.1149,0.4248
2010-07-23,1831676.0300,1815546.4750,True,0.5873,0.0442,0.4898
2010-07-30,1832664.0300,1860407.1550,False,0.4616,-0.1257,0.4785
2010-08-06,1949236.0900,1894143.2125,True,0.6137,0.1521,0.5326
2010-08-13,1962996.7000,1932021.8450,True,0.7914,0.1777,0.6361
2010-08-20,1983190.5600,1905747.1925,True,0.5945,-0.1969,0.6195
2010-08-27,1727565.4200,1860021.0325,False,0.2057,-0.3888,0.4540
2010-09-03,1766331.4500,1799404.4150,False,0.0583,-0.1474,0.2957
2010-09-10,1720530.2300,1732795.7200,False,0.1831,0.1248,0.2507
2010-09-17,1716755.7800,1714663.5525,True,0.3210,0.1379,0.2788
2010-09-24,1655036.7500,1684553.9325,False,0.2506,-0.0704,0.2675
2010-10-01,1645892.9700,1697469.4800,False,0.2203,-0.0303,0.2486
2010-10-08,1772192.4200,1694243.0975,True,0.3968,0.1764,0.3079
2010-10-15,1703850.2500,1715542.4250,False,0.3742,-0.0226,0.3344
2010-10-22,1740234.0600,1739396.3225,True,0.3646,-0.0096,0.3465
2010-10-29,1741308.5600,1754401.2075,False,0.4346,0.0701,0.3817
2010-11-05,1832211.9600,1802414.0425,True,0.5535,0.1188,0.4504
2010-11-12,1895901.5900,1854649.8100,True,0.6069,0.0535,0.5130
2010-11-19,1949177.1300,2154309.2650,False,0.5186,-0.0883,0.5153
2010-11-26,2939946.3800,2259057.9350,True,0.5475,0.0289,0.5282
2010-12-03,2251206.6400,2388030.0900,False,0.3971,-0.1505,0.4757
2010-12-10,2411790.2100,2603647.5200,False,0.3774,-0.0196,0.4364
2010-12-17,2811646.8500,2805925.3475,True,0.9363,0.5589,0.6364
2010-12-24,3749057.6900,2669948.2225,True,1.0000,0.0637,0.7818
2010-12-31,1707298.1400,2495578.1450,False,0.4426,-0.5574,0.6461
2011-01-07,1714309.9000,2220367.3300,False,0.1974,-0.2452,0.4666
2011-01-14,1710803.5900,1702491.9525,True,0.3246,0.1272,0.4098
2011-01-21,1677556.1800,1704609.6800,False,0.2548,-0.0698,0.3478
2011-01-28,1715769.0500,1768043.6825,False,0.2768,0.0220,0.3194
2011-02-04,1968045.9100,1869194.8625,True,0.6648,0.3880,0.4576
2011-02-11,2115408.3100,1976539.4550,True,0.8496,0.1848,0.6144
2011-02-18,2106934.5500,2039596.3700,True,0.6336,-0.2160,0.6221
2011-02-25,1967996.7100,2037085.6900,False,0.2532,-0.3803,0.4745
2011-03-04,1958003.1900,1991600.9000,False,0.0023,-0.2510,0.2856
2011-03-11,1933469.1500,1936050.8400,False,0.0065,0.0043,0.1740
2011-03-18,1884734.3100,1898001.3750,False,0.0005,-0.0060,0.1046
2011-03-25,1815798.8500,1865433.8725,False,0.0503,0.0498,0.0829
2011-04-01,1827733.1800,1849746.7675,False,0.2077,0.1573,0.1328
2011-04-08,1870720.7300,1824004.9950,True,0.3993,0.1916,0.2394
2011-04-15,1781767.2200,1871263.0675,False,0.4325,0.0332,0.3166
2011-04-22,2004831.1400,1882741.3575,True,0.3862,-0.0463,0.3444
2011-04-29,1873646.3400,1875403.6725,False,0.2173,-0.1689,0.2936
2011-05-06,1841369.9900,1858210.7275,False,0.0203,-0.1970,0.1842
2011-05-13,1712995.4400,1787229.9450,False,0.0404,0.0201,0.1267
2011-05-20,1720908.0100,1754568.4550,False,0.2479,0.2075,0.1752
2011-05-27,1743000.3800,1742278.6800,True,0.5116,0.2637,0.3098
2011-06-03,1792210.8900,1749045.5950,True,0.5895,0.0778,0.4216
2011-06-10,1740063.1000,1773302.2825,False,0.4028,-0.1867,0.4141
2011-06-17,1817934.7600,1765505.4700,True,0.3813,-0.0214,0.4010
2011-06-24,1711813.1300,1755295.1850,False,0.3682,-0.0132,0.3879
2011-07-01,1751369.7500,1745206.5050,True,0.3939,0.0257,0.3903
2011-07-08,1699708.3800,1734489.9150,False,0.4282,0.0344,0.4055
2011-07-15,1775068.4000,1750122.2850,True,0.5417,0.1134,0.4599
2011-07-22,1774342.6100,1748740.1800,True,0.5823,0.0406,0.5089
2011-07-29,1745841.3300,1795388.0800,False,0.4200,-0.1623,0.4733
2011-08-05,1886299.9800,1830970.3875,True,0.6030,0.1829,0.5252
2011-08-12,1917397.6300,1876097.1550,True,0.7577,0.1547,0.6182
2011-08-19,1954849.6800,1871736.5900,True,0.5953,-0.1624,0.6090
2011-08-26,1728399.0700,1839808.4325,False,0.2257,-0.3696,0.4557
2011-09-02,1758587.3500,1778103.9800,False,0.0119,-0.2138,0.2781
2011-09-09,1670579.8200,1702115.1350,False,0.0362,0.0243,0.1813
2011-09-16,1650894.3000,1691493.0000,False,0.1855,0.1493,0.1830
2011-09-23,1685910.5300,1658772.9900,True,0.3625,0.1771,0.2548
2011-09-30,1627707.3100,1688184.9350,False,0.3870,0.0245,0.3077
2011-10-07,1788227.6000,1701649.6150,True,0.3570,-0.0301,0.3274
2011-10-14,1704753.0200,1716654.1225,False,0.2189,-0.1381,0.2840
2011-10-21,1745928.5600,1752675.5375,False,0.0569,-0.1620,0.1931
2011-10-28,1771792.9700,1781728.2850,False,0.2435,0.1866,0.2133
2011-11-04,1904438.5900,1874682.7400,True,0.5964,0.3530,0.3665
2011-11-11,2076570.8400,1905472.5625,True,0.6736,0.0772,0.4893
2011-11-18,1869087.8500,2200073.9800,False,0.5410,-0.1326,0.5100
2011-11-25,2950198.6400,2240988.6275,True,0.5786,0.0376,0.5374
2011-12-02,2068097.1800,2329173.6425,False,0.3235,-0.2551,0.4519
2011-12-09,2429310.9000,2500659.4750,False,0.0916,-0.2319,0.3078
2011-12-16,2555031.1800,2635106.5375,False,0.3765,0.2849,0.3353
2011-12-23,3487986.8900,2600754.8350,True,0.6492,0.2727,0.4608
2011-12-30,1930690.3700,2414277.5550,False,0.3638,-0.2854,0.4220
2012-01-06,1683401.7800,2203410.4425,False,0.0000,-0.3638,0.2532
2012-01-13,1711562.7300,1750304.4550,False,0.0240,0.0240,0.1615
2012-01-20,1675562.9400,1675733.3625,False,0.0498,0.0259,0.1168
2012-01-27,1632406.0000,1721733.6700,False,0.2580,0.2081,0.1733
2012-02-03,1867403.0100,1848491.9375,True,0.6568,0.3988,0.3667
2012-02-10,2218595.8000,1971778.6425,True,0.8392,0.1825,0.5557
2012-02-17,2168709.7600,2073531.0775,True,0.6483,-0.1909,0.5927
2012-02-24,2039415.7400,2104273.0800,False,0.2530,-0.3953,0.4569
2012-03-02,1990371.0200,2028994.9050,False,0.0478,-0.2053,0.2932
2012-03-09,1917483.1000,1969521.1300,False,0.2015,0.1538,0.2565
2012-03-16,1930814.6600,1919031.6175,True,0.3697,0.1682,0.3018
2012-03-23,1837457.6900,1875378.9675,False,0.2496,-0.1201,0.2809
2012-03-30,1815760.4200,1936854.2350,False,0.3002,0.0506,0.2887
2012-04-06,2163384.1700,1947822.4475,True,0.6378,0.3376,0.4283
2012-04-13,1974687.5100,1932749.6575,True,0.6153,-0.0225,0.5031
2012-04-20,1777166.5300,1907056.4425,False,0.2752,-0.3401,0.4120
2012-04-27,1712987.5600,1821551.5050,False,0.2561,-0.0191,0.3496
2012-05-04,1821364.4200,1775965.9525,True,0.5307,0.2746,0.4220
2012-05-11,1792345.3000,1780462.5025,True,0.5941,0.0634,0.4909
2012-05-18,1795152.7300,1809950.3875,False,0.3949,-0.1992,0.4525
2012-05-25,1830939.1000,1796477.1525,True,0.4097,0.0148,0.4354
2012-06-01,1767471.4800,1808513.6800,False,0.4515,0.0418,0.4418
2012-06-08,1840491.4100,1812616.2175,True,0.5414,0.0899,0.4817
2012-06-15,1811562.8800,1793714.9875,True,0.5308,-0.0106,0.5013
2012-06-22,1755334.1800,1778717.5925,False,0.2325,-0.2983,0.3938
2012-06-29,1707481.9000,1770094.6875,False,0.2025,-0.0300,0.3173
2012-07-06,1805999.7900,1758596.9450,True,0.4061,0.2036,0.3528
2012-07-13,1765571.9100,1787255.1575,False,0.4131,0.0070,0.3769
2012-07-20,1869967.0300,1814785.5975,True,0.3472,-0.0659,0.3650
2012-07-27,1817603.6600,,False,0.2124,-0.1348,0.3040
