Store,Date,value,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
10,2010-02-05,2193048.75,0,54.34,2.962,126.4420645,9.765
10,2010-02-12,2176028.52,1,49.96,2.828,126.4962581,9.765
10,2010-02-19,2113432.58,0,58.22,2.915,126.5262857,9.765
10,2010-02-26,2006774.96,0,52.77,2.825,126.5522857,9.765
10,2010-03-05,1987090.09,0,55.92,2.877,126.5782857,9.765
10,2010-03-12,1941346.13,0,52.33,3.034,126.6042857,9.765
10,2010-03-19,1946875.06,0,61.46,3.054,126.6066452,9.765
10,2010-03-26,1893532.46,0,60.05,2.98,126.6050645,9.765
10,2010-04-02,2138651.97,0,63.66,3.086,126.6034839,9.524
10,2010-04-09,2041069.37,0,65.29,3.004,126.6019032,9.524
10,2010-04-16,1826241.44,0,69.74,3.109,126.5621,9.524
10,2010-04-23,1829521.83,0,66.42,3.05,126.4713333,9.524
10,2010-04-30,1790694.59,0,69.76,3.105,126.3805667,9.524
10,2010-05-07,1921432.16,0,71.06,3.127,126.2898,9.524
10,2010-05-14,1808056.41,0,73.88,3.145,126.2085484,9.524
10,2010-05-21,1847613.58,0,78.32,3.12,126.1843871,9.524
10,2010-05-28,1904618.17,0,76.67,3.058,126.1602258,9.524
10,2010-06-04,1931406.28,0,82.82,2.941,126.1360645,9.524
10,2010-06-11,1827521.71,0,89.67,3.057,126.1119032,9.524
10,2010-06-18,1837636.24,0,83.49,2.935,126.114,9.524
10,2010-06-25,1768172.31,0,90.32,3.084,126.1266,9.524
10,2010-07-02,1845893.87,0,92.89,2.978,126.1392,9.199
10,2010-07-09,1769793.37,0,91.03,3.1,126.1518,9.199
10,2010-07-16,1828052.47,0,91.8,2.971,126.1498065,9.199
10,2010-07-23,1831676.03,0,88.44,3.112,126.1283548,9.199
10,2010-07-30,1832664.03,0,85.03,3.017,126.1069032,9.199
10,2010-08-06,1949236.09,0,86.13,3.123,126.0854516,9.199
10,2010-08-13,1962996.7,0,88.37,3.049,126.064,9.199
10,2010-08-20,1983190.56,0,89.88,3.041,126.0766452,9.199
10,2010-08-27,1727565.42,0,84.99,3.022,126.0892903,9.199
10,2010-09-03,1766331.45,0,83.8,3.087,126.1019355,9.199
10,2010-09-10,1720530.23,1,84.04,2.961,126.1145806,9.199
10,2010-09-17,1716755.78,0,85.52,3.028,126.1454667,9.199
10,2010-09-24,1655036.75,0,85.75,2.939,126.1900333,9.199
10,2010-10-01,1645892.97,0,86.01,3.001,126.2346,9.003
10,2010-10-08,1772192.42,0,77.04,2.924,126.2791667,9.003
10,2010-10-15,1703850.25,0,75.48,3.08,126.3266774,9.003
10,2010-10-22,1740234.06,0,68.12,3.014,126.3815484,9.003
10,2010-10-29,1741308.56,0,68.76,3.13,126.4364194,9.003
10,2010-11-05,1832211.96,0,71.04,3.009,126.4912903,9.003
10,2010-11-12,1895901.59,0,61.24,3.13,126.5461613,9.003
10,2010-11-19,1949177.13,0,58.83,3.047,126.6072,9.003
10,2010-11-26,2939946.38,1,55.33,3.162,126.6692667,9.003
10,2010-12-03,2251206.64,0,51.17,3.041,126.7313333,9.003
